tmin	text	tmax
0	<p:>	2.757125
2.757125	l	2.857125
2.857125	U	2.927125
2.927125	n	2.957125
2.957125	d	2.987125
2.987125	i	3.067125
3.067125	m	3.247125
3.247125	a	3.427125
3.427125	t	3.457125
3.457125	i:	3.497125
3.497125	n	3.527125
3.527125	<p:>	3.577125
3.577125	?	3.647125
3.647125	a	3.687125
3.687125	l	3.747125
3.747125	i:	3.807125
3.807125	s	3.847125
3.847125	E	3.897125
3.897125	t	3.927125
3.927125	z	3.977125
3.977125	O	4.027125
4.027125	n	4.057125
4.057125	p	4.107125
4.107125	a	4.217125
4.217125	p	4.267125
4.267125	a	4.387125
4.387125	v	4.437125
4.437125	O	4.467125
4.467125	n	4.527125
4.527125	?	4.627125
4.627125	a:	4.697125
4.697125	m	4.797125
4.797125	a	4.827125
4.827125	l	4.897125
4.897125	i:	4.987125
4.987125	b	5.077125
5.077125	u:	5.147125
5.147125	<p:>	5.737125
5.737125	l	5.797125
5.797125	a	5.847125
5.847125	b	5.907125
5.907125	a	6.092125
6.092125	I	6.157125
6.157125	l	6.187125
6.187125	s	6.217125
6.217125	<p:>	6.307125
6.307125	r	6.337125
6.337125	e:	6.387125
6.387125	j	6.417125
6.417125	OY	6.577125
6.577125	k	6.637125
6.637125	n	6.667125
6.667125	E	6.707125
6.707125	n	6.777125
6.777125	p	6.857125
6.857125	e:	6.897125
6.897125	p	7.057125
7.057125	i	7.237125
7.237125	?	7.347125
7.347125	a	7.417125
7.417125	p	7.457125
7.457125	r	7.537125
7.537125	@	7.577125
7.577125	U	7.617125
7.617125	n	7.647125
7.647125	v	7.677125
7.677125	o	7.717125
7.717125	h	7.747125
7.747125	a	7.777125
7.777125	g	7.807125
7.807125	@	7.927125
7.927125	<p:>	7.997125
7.997125	z	8.037125
8.037125	a	8.117125
8.117125	n	8.247125
8.247125	s	8.277125
8.277125	z	8.307125
8.307125	u	8.347125
8.347125	ts	8.387125
8.387125	I	8.467125
8.467125	s	8.507125
8.507125	<p:>	8.927125
8.927125	?	8.997125
8.997125	I	9.047125
9.047125	l	9.077125
9.077125	f	9.187125
9.187125	aI	9.247125
9.247125	t	9.347125
9.347125	k	9.377125
9.377125	aU	9.557125
9.557125	t	9.587125
9.587125	<p:>	9.677125
9.677125	m	9.757125
9.757125	aI	9.797125
9.797125	s	9.827125
9.827125	l	9.857125
9.857125	a	9.887125
9.887125	b	9.957125
9.957125	r	10.017125
10.017125	i:	10.087125
10.087125	z	10.197125
10.197125	@	10.267125
10.267125	l	10.307125
10.307125	e:	10.347125
10.347125	g	10.377125
10.377125	r	10.417125
10.417125	@	10.547125
10.547125	?	10.577125
10.577125	E	10.617125
10.617125	t	10.647125
10.647125	l	10.677125
10.677125	?	10.707125
10.707125	E:	10.797125
10.797125	6	10.827125
10.827125	dZ	10.887125
10.887125	o:	10.987125
10.987125	d	11.037125
11.037125	e:	11.097125
11.097125	d	11.137125
11.137125	e	11.187125
11.187125	l	11.217125
11.217125	a	11.277125
11.277125	m	11.347125
11.347125	E	11.377125
11.377125	6	11.427125
11.427125	l	11.497125
11.497125	E	11.547125
11.547125	s	11.577125
11.577125	r	11.607125
11.607125	a	11.677125
11.677125	v	11.717125
11.717125	i:	11.877125
11.877125	v	11.907125
11.907125	E	11.937125
11.937125	n	11.967125
11.967125	<p:>	12.457125
12.457125	f	12.507125
12.507125	E	12.537125
12.537125	6	12.647125
12.647125	s	12.677125
12.677125	m	12.707125
12.707125	i:	12.817125
12.817125	d	12.847125
12.847125	i	13.047125
13.047125	<p:>	13.417125
13.417125	a	13.477125
13.477125	l	13.557125
13.557125	i:	13.637125
13.637125	s	13.667125
13.667125	s	13.767125
13.767125	E	13.837125
13.837125	k	13.867125
13.867125	s	13.957125
13.957125	k	13.997125
13.997125	l	14.057125
14.057125	a:	14.157125
14.157125	m	14.267125
14.267125	@	14.327125
14.327125	<p:>	14.967125
14.967125	j	15.007125
15.007125	?	15.037125
15.037125	aI	15.097125
15.097125	v	15.127125
15.127125	r	15.177125
15.177125	a:	15.227125
15.227125	j	15.257125
15.257125	u:	15.347125
15.347125	n	15.377125
15.377125	t	15.407125
15.407125	r	15.447125
15.447125	E	15.487125
15.487125	s	15.517125
15.517125	t	15.547125
15.547125	r	15.577125
15.577125	E	15.657125
15.657125	s	15.687125
15.687125	f	15.787125
15.787125	aI	15.877125
15.877125	m	16.117125
16.117125	<p:>	16.307125
16.307125	p	16.347125
16.347125	e:	16.407125
16.407125	p	16.517125
16.517125	i	16.607125
16.607125	l	16.667125
16.667125	E	16.697125
16.697125	s	16.727125
16.727125	g	16.757125
16.757125	u	16.797125
16.797125	i:	16.877125
16.877125	d	16.907125
16.907125	@	16.947125
16.947125	a	16.977125
16.977125	l	17.007125
17.007125	O	17.157125
17.157125	6	17.517125
17.517125	z	17.557125
17.557125	s	17.602125
17.602125	f	17.657125
17.657125	aI	17.697125
17.697125	t	17.727125
17.727125	@	17.852125
17.852125	f	17.897125
17.897125	E	17.937125
17.937125	6	17.967125
17.967125	s	17.997125
17.997125	U	18.067125
18.067125	n	18.107125
18.107125	k	18.157125
18.157125	a	18.197125
18.197125	f	18.247125
18.247125	e:	18.307125
18.307125	l	18.337125
18.337125	U	18.367125
18.367125	k	18.427125
18.427125	s	18.557125
18.557125	u	18.717125
18.717125	OY	18.757125
18.757125	k	18.787125
18.787125	s	18.817125
18.817125	<p:>	18.877125
18.877125	aU	18.977125
18.977125	b	19.037125
19.037125	O	19.117125
19.117125	6	19.147125
19.147125	d	19.177125
19.177125	e	19.217125
19.217125	l	19.247125
19.247125	?	19.277125
19.277125	e:	19.317125
19.317125	aU	19.457125
19.457125	<p:>	19.717125
19.717125	l	19.757125
19.757125	e	19.797125
19.797125	b	19.857125
19.857125	i	19.937125
19.937125	g	19.997125
19.997125	O	20.047125
20.047125	6	20.087125
20.087125	n	20.117125
20.117125	j	20.147125
20.147125	o:	20.207125
20.207125	z	20.287125
20.287125	a	20.377125
20.377125	l	20.417125
20.417125	e:	20.507125
20.507125	<p:>	21.307125
21.307125	m	21.377125
21.377125	a	21.427125
21.427125	r	21.517125
21.517125	d	21.547125
21.547125	i	21.752125
21.752125	I	21.837125
21.837125	l	21.877125
21.877125	s	21.907125
21.907125	v	21.937125
21.937125	O	21.997125
21.997125	n	22.027125
22.027125	t	22.057125
22.057125	a:	22.117125
22.117125	l	22.147125
22.147125	a	22.207125
22.207125	p	22.257125
22.257125	l	22.327125
22.327125	a:	22.387125
22.387125	g	22.417125
22.417125	@	22.467125
22.467125	I	22.517125
22.517125	l	22.637125
22.637125	<p:>	22.847125
22.847125	n	22.877125
22.877125	?	22.907125
22.907125	Y	22.937125
22.937125	p	22.967125
22.967125	s	23.097125
23.097125	i	23.147125
23.147125	l	23.177125
23.177125	O	23.207125
23.207125	n	23.387125
23.387125	a:	23.477125
23.477125	p	23.547125
23.547125	a	23.617125
23.617125	z	23.677125
23.677125	U	23.737125
23.737125	n	23.807125
23.807125	n	23.877125
23.877125	U	23.907125
23.907125	a	23.967125
23.967125	g	23.997125
23.997125	d	24.047125
24.047125	a:	24.097125
24.097125	l	24.127125
24.127125	e	24.187125
24.187125	<p:>	24.267125
24.267125	tS	24.307125
24.307125	i:	24.407125
24.407125	l	24.497125
24.497125	p	24.567125
24.567125	a	24.637125
24.637125	p	24.707125
24.707125	a	24.767125
24.767125	s	24.797125
24.797125	?	24.827125
24.827125	I	24.877125
24.877125	n	24.907125
24.907125	t	24.977125
24.977125	6	25.047125
25.047125	r	25.077125
25.077125	o:	25.247125
25.247125	g	25.277125
25.277125	@	25.347125
25.347125	<p:>	25.447125
25.447125	?	25.477125
25.477125	a	25.577125
25.577125	v	25.627125
25.627125	O	25.667125
25.667125	n	25.697125
25.697125	s	25.727125
25.727125	n	25.787125
25.787125	u:	25.867125
25.867125	s	25.897125
25.897125	p	25.927125
25.927125	r	25.977125
25.977125	I	26.017125
26.017125	s	26.047125
26.047125	l	26.077125
26.077125	a	26.127125
26.127125	k	26.177125
26.177125	r	26.207125
26.207125	e:	26.247125
26.247125	m	26.297125
26.297125	z	26.387125
26.387125	o:	26.427125
26.427125	l	26.457125
26.457125	aI	26.547125
26.547125	r	26.737125
26.737125	@	26.797125
26.797125	<p:>	27.267125
27.267125	b	27.297125
27.297125	i:	27.417125
27.417125	n	27.447125
27.447125	z	27.567125
27.567125	U	27.607125
27.607125	6	27.707125
27.707125	s	27.737125
27.737125	r	27.897125
27.897125	e:	27.957125
27.957125	b	28.017125
28.017125	m	28.127125
28.127125	a	28.157125
28.157125	l	28.227125
28.227125	i:	28.277125
28.277125	s	28.447125
28.447125	<p:>	29.137125
29.137125	m	29.177125
29.177125	9	29.207125
29.207125	6	29.237125
29.237125	d	29.267125
29.267125	k	29.297125
29.297125	r	29.357125
29.357125	e:	29.407125
29.407125	d	29.437125
29.437125	i	29.647125
29.647125	p	29.717125
29.717125	a	29.847125
29.847125	p	29.887125
29.887125	a	29.947125
29.947125	E	30.017125
30.017125	t	30.047125
30.047125	p	30.087125
30.087125	e:	30.137125
30.137125	p	30.257125
30.257125	i	30.357125
30.357125	z	30.447125
30.447125	e	30.497125
30.497125	b	30.577125
30.577125	a	30.617125
30.617125	l	30.647125
30.647125	a	30.727125
30.727125	d	30.787125
30.787125	E	30.817125
30.817125	n	30.847125
30.847125	E	30.877125
30.877125	b	30.907125
30.907125	a	30.977125
30.977125	v	31.007125
31.007125	a	31.067125
31.067125	r	31.127125
31.127125	t	31.187125
31.187125	a	31.237125
31.237125	n	31.267125
31.267125	h	31.487125
31.487125	<p:>	31.867125
31.867125	p	31.937125
31.937125	E	31.967125
31.967125	n	31.997125
31.997125	t	32.027125
32.027125	a	32.077125
32.077125	t	32.107125
32.107125	ts	32.157125
32.157125	E	32.207125
32.207125	t	32.297125
32.297125	E	32.327125
32.327125	m	32.427125
32.427125	p	32.487125
32.487125	s	32.517125
32.517125	a	32.557125
32.557125	l	32.657125
32.657125	i:	32.717125
32.717125	s	32.827125
32.827125	@	32.947125
32.947125	z	32.977125
32.977125	e	33.027125
33.027125	d	33.057125
33.057125	e:	33.097125
33.097125	t	33.147125
33.147125	E	33.207125
33.207125	n	33.237125
33.237125	?	33.327125
33.327125	E	33.367125
33.367125	m	33.397125
33.397125	l	33.427125
33.427125	i	33.477125
33.477125	z	33.547125
33.547125	a	33.697125
33.697125	n	33.727125
33.727125	?	33.757125
33.757125	U	33.817125
33.817125	n	33.847125
33.847125	r	33.877125
33.877125	o	34.047125
34.047125	m	34.227125
34.227125	a:	34.277125
34.277125	n	34.307125
34.307125	E	34.337125
34.337125	t	34.367125
34.367125	m	34.397125
34.397125	a	34.437125
34.437125	N	34.467125
34.467125	U	34.497125
34.497125	n	34.527125
34.527125	b	34.607125
34.607125	O	34.637125
34.637125	N	34.667125
34.667125	b	34.707125
34.707125	O	34.747125
34.747125	N	34.777125
34.777125	a:	34.827125
34.827125	l	34.857125
34.857125	?	34.887125
34.887125	a	34.937125
34.937125	n	34.987125
34.987125	a	35.047125
35.047125	n	35.107125
35.107125	a	35.197125
35.197125	s	35.327125
35.327125	<p:>	36.117125
36.117125	j	36.247125
36.247125	OY	36.287125
36.287125	d	36.377125
36.377125	i	36.567125
36.567125	<p:>	36.667125
36.667125	?	36.747125
36.747125	E	36.787125
36.787125	l	36.817125
36.817125	@	36.847125
36.847125	v	36.877125
36.877125	a	36.927125
36.927125	f	37.007125
37.007125	aI	37.047125
37.047125	r	37.087125
37.087125	@	37.117125
37.117125	U	37.147125
37.147125	n	37.177125
37.177125	dZ	37.237125
37.237125	O	37.317125
37.317125	g	37.367125
37.367125	I	37.427125
37.427125	N	37.637125
37.637125	<p:>	37.977125
37.977125	p	38.007125
38.007125	a	38.057125
38.057125	p	38.097125
38.097125	a	38.202125
38.202125	l	38.307125
38.307125	u	38.347125
38.347125	i	38.427125
38.427125	k	38.507125
38.507125	r	38.537125
38.537125	i:	38.707125
38.707125	<p:>	39.027125
39.027125	n	39.107125
39.107125	u:	39.167125
39.167125	s	39.197125
39.197125	p	39.247125
39.247125	a:	39.307125
39.307125	r	39.367125
39.367125	t	39.447125
39.447125	O	39.477125
39.477125	N	39.507125
39.507125	s	39.547125
39.547125	f	39.607125
39.607125	aI	39.647125
39.647125	r	39.777125
39.777125	@	39.837125
39.837125	k	39.877125
39.877125	v	39.917125
39.917125	E	39.957125
39.957125	l	39.987125
39.987125	k	40.017125
40.017125	v	40.047125
40.047125	@	40.127125
40.127125	S	40.247125
40.247125	a	40.357125
40.357125	k	40.387125
40.387125	a	40.417125
40.417125	t	40.787125
40.787125	s	40.827125
40.827125	<p:>	41.327125
41.327125	aU	41.417125
41.417125	m	41.477125
41.477125	a	41.517125
41.517125	g	41.597125
41.597125	a	41.647125
41.647125	z	41.717125
41.717125	i:	41.757125
41.757125	n	41.947125
41.947125	<p:>	42.367125
42.367125	p	42.407125
42.407125	e:	42.467125
42.467125	p	42.567125
42.567125	i	42.667125
42.667125	?	42.727125
42.727125	a	42.827125
42.827125	x	42.867125
42.867125	e:	42.947125
42.947125	t	42.977125
42.977125	@	43.037125
43.037125	d	43.067125
43.067125	E	43.097125
43.097125	s	43.127125
43.127125	n	43.207125
43.207125	OY	43.287125
43.287125	k	43.317125
43.317125	s	43.347125
43.347125	d	43.377125
43.377125	e	43.417125
43.417125	m	43.447125
43.447125	a	43.487125
43.487125	k	43.567125
43.567125	a:	43.617125
43.617125	d	43.667125
43.667125	a:	43.717125
43.717125	m	43.777125
43.777125	j	43.927125
43.927125	a	44.007125
44.007125	<p:>	44.647125
44.647125	v	44.737125
44.737125	E	44.777125
44.777125	n	44.807125
44.807125	d	44.837125
44.837125	r	44.927125
44.927125	e:	44.977125
44.977125	d	45.027125
45.027125	i	45.177125
45.177125	<p:>	45.477125
45.477125	I	45.547125
45.547125	l	45.597125
45.597125	s	45.627125
45.627125	v	45.657125
45.657125	i	45.747125
45.747125	z	45.787125
45.787125	i:	45.857125
45.857125	t	45.887125
45.887125	n	45.917125
45.917125	t	45.957125
45.957125	<p:>	46.007125
46.007125	?	46.067125
46.067125	U	46.117125
46.117125	n	46.147125
46.147125	m	46.237125
46.237125	U	46.267125
46.267125	z	46.357125
46.357125	e:	46.437125
46.437125	d	46.467125
46.467125	?	46.497125
46.497125	a:	46.557125
46.557125	r	46.587125
46.587125	t	46.617125
46.617125	a	46.667125
46.667125	p	46.737125
46.737125	s	46.767125
46.767125	t	46.827125
46.827125	r	46.927125
46.927125	aI	47.047125
47.047125	t	47.117125
47.117125	<p:>	47.707125
47.707125	p	47.737125
47.737125	a	47.847125
47.847125	p	47.917125
47.917125	a	48.017125
48.017125	s	48.097125
48.097125	E	48.137125
48.137125	k	48.227125
48.227125	s	48.277125
48.277125	t	48.357125
48.357125	?	48.387125
48.387125	a:	48.467125
48.467125	z	48.637125
48.637125	i:	48.677125
48.677125	d	48.717125
48.717125	e	48.757125
48.757125	v	48.817125
48.817125	a	48.847125
48.847125	n	48.877125
48.877125	U	48.947125
48.947125	n	48.987125
48.987125	S	49.027125
49.027125	p	49.087125
49.087125	l	49.137125
49.137125	E	49.167125
49.167125	n	49.197125
49.197125	d	49.227125
49.227125	?	49.257125
49.257125	i	49.297125
49.297125	d	49.327125
49.327125	@	49.357125
49.357125	t	49.457125
49.457125	a	49.497125
49.497125	b	49.537125
49.537125	l	49.567125
49.567125	o:	49.707125
49.707125	E	49.737125
49.737125	t	49.767125
49.767125	d	49.797125
49.797125	e:	49.837125
49.837125	m	49.917125
49.917125	a	49.997125
49.997125	n	50.027125
50.027125	d	50.057125
50.057125	@	50.107125
50.107125	<p:>	50.417125
50.417125	k	50.467125
50.467125	v	50.497125
50.497125	aI	50.547125
50.547125	a:	50.617125
50.617125	d	50.697125
50.697125	O	50.747125
50.747125	n	50.807125
50.807125	k	50.837125
50.837125	k	50.877125
50.877125	r	50.927125
50.927125	e:	50.977125
50.977125	e:	51.047125
51.047125	s	51.097125
51.097125	E	51.177125
51.177125	t	51.267125
51.267125	@	51.337125
51.337125	aU	51.377125
51.377125	v	51.437125
51.437125	r	51.487125
51.487125	@	51.527125
51.527125	<p:>	52.237125
52.237125	z	52.267125
52.267125	a	52.327125
52.327125	m	52.377125
52.377125	e:	52.417125
52.417125	d	52.447125
52.447125	i	52.497125
52.497125	m	52.697125
52.697125	a	52.897125
52.897125	t	52.927125
52.927125	i:	52.967125
52.967125	n	53.037125
53.037125	a	53.117125
53.117125	l	53.187125
53.187125	i:	53.277125
53.277125	s	53.427125
53.427125	s	53.457125
53.457125	E	53.527125
53.527125	n	53.567125
53.567125	t	53.617125
53.617125	r	53.737125
53.737125	e:	53.827125
53.827125	n	53.907125
53.907125	@	53.937125
53.937125	p	53.987125
53.987125	u:	54.037125
54.037125	r	54.067125
54.067125	l	54.097125
54.097125	a	54.137125
54.137125	z	54.207125
54.207125	o	54.267125
54.267125	I	54.297125
54.297125	r	54.327125
54.327125	e:	54.377125
54.377125	k	54.457125
54.457125	a	54.507125
54.507125	r	54.597125
54.597125	a	54.627125
54.627125	O	54.737125
54.737125	k	54.807125
54.807125	e:	54.897125
54.897125	E	54.927125
54.927125	m	54.957125
54.957125	r	55.047125
55.047125	e:	55.157125
55.157125	b	55.187125
55.187125	e:	55.257125
55.257125	t	55.327125
55.327125	a	55.377125
55.377125	n	55.407125
55.407125	r	55.457125
55.457125	a:	55.497125
55.497125	p	55.527125
55.527125	aI	55.577125
55.577125	d	55.637125
55.637125	@	55.717125
55.717125	m	55.847125
55.847125	E	55.907125
55.907125	n	55.937125
55.937125	<p:>	56.267125
56.267125	p	56.297125
56.297125	a	56.397125
56.397125	t	56.447125
56.447125	a	56.507125
56.507125	k	56.597125
56.597125	a	56.687125
56.687125	<p:>	56.837125
56.837125	p	56.867125
56.867125	a	56.937125
56.937125	t	56.997125
56.997125	a	57.047125
57.047125	k	57.137125
57.137125	a	57.237125
57.237125	<p:>	57.297125
57.297125	p	57.347125
57.347125	a	57.397125
57.397125	t	57.457125
57.457125	a	57.517125
57.517125	k	57.607125
57.607125	a	57.687125
57.687125	<p:>	58.577125
58.577125	z	58.617125
58.617125	a	58.677125
58.677125	m	58.717125
58.717125	e:	58.757125
58.757125	d	58.787125
58.787125	i	58.837125
58.837125	z	58.987125
58.987125	OY	59.147125
59.147125	r	59.257125
59.257125	?	59.307125
59.307125	I	59.397125
59.397125	l	59.447125
59.447125	s	59.477125
59.477125	f	59.527125
59.527125	e:	59.577125
59.577125	t	59.627125
59.627125	E	59.657125
59.657125	n	59.687125
59.687125	l	59.727125
59.727125	OY	59.797125
59.797125	r	59.837125
59.837125	d	59.867125
59.867125	e:	59.917125
59.917125	b	59.987125
59.987125	a	60.077125
60.077125	r	60.137125
60.137125	t	60.167125
60.167125	E	60.197125
60.197125	n	60.227125
60.227125	d	60.257125
60.257125	a	60.337125
60.337125	n	60.367125
60.367125	z	60.497125
60.497125	a	60.567125
60.567125	n	60.597125
60.597125	l	60.627125
60.627125	a	60.707125
60.707125	j	60.737125
60.737125	a	60.797125
60.797125	v	60.847125
60.847125	a	60.977125
60.977125	z	61.027125
61.027125	u:	61.127125
61.127125	s	61.157125
61.157125	l	61.187125
61.187125	e	61.227125
61.227125	l	61.257125
61.257125	i:	61.347125
61.347125	l	61.427125
61.427125	a	61.547125
61.547125	s	61.577125
61.577125	<p:>	62.087125
62.087125	k	62.147125
62.147125	O	62.217125
62.217125	m	62.247125
62.247125	a:	62.287125
62.287125	l	62.317125
62.317125	?	62.347125
62.347125	a	62.417125
62.417125	r	62.447125
62.447125	I	62.547125
62.547125	v	62.607125
62.607125	e:	62.797125
62.797125	<p:>	62.937125
62.937125	I	62.997125
62.997125	l	63.047125
63.047125	f	63.147125
63.147125	aI	63.207125
63.207125	t	63.307125
63.307125	k	63.337125
63.337125	aU	63.497125
63.497125	t	63.527125
63.527125	m	63.607125
63.607125	aI	63.647125
63.647125	s	63.677125
63.677125	l	63.707125
63.707125	a	63.737125
63.737125	b	63.817125
63.817125	r	63.857125
63.857125	i:	63.937125
63.937125	z	64.007125
64.007125	@	64.037125
64.037125	l	64.077125
64.077125	e:	64.167125
64.167125	g	64.207125
64.207125	@	64.387125
64.387125	r	64.447125
64.447125	@	64.477125
64.477125	E	64.507125
64.507125	t	64.537125
64.537125	l	64.567125
64.567125	?	64.597125
64.597125	E:	64.697125
64.697125	6	64.737125
64.737125	dZ	64.797125
64.797125	o:	64.907125
64.907125	d	64.947125
64.947125	e:	65.067125
65.067125	d	65.127125
65.127125	e	65.167125
65.167125	l	65.207125
65.207125	a	65.277125
65.277125	m	65.337125
65.337125	E	65.367125
65.367125	6	65.432125
65.432125	l	65.507125
65.507125	E	65.557125
65.557125	s	65.587125
65.587125	r	65.617125
65.617125	a	65.697125
65.697125	v	65.737125
65.737125	i:	65.937125
65.937125	v	65.987125
65.987125	E	66.017125
66.017125	n	66.047125
66.047125	t	66.607125
66.607125	<p:>	66.727125
66.727125	d	66.827125
66.827125	I	66.857125
66.857125	m	66.947125
66.947125	a	67.057125
67.057125	n	67.097125
67.097125	C	67.317125
67.317125	@	67.347125
67.347125	<p:>	67.617125
67.617125	a	67.657125
67.657125	l	67.727125
67.727125	i:	67.877125
67.877125	s	68.137125
68.137125	<p:>	68.507125
68.507125	p	68.547125
68.547125	a	68.617125
68.617125	p	68.647125
68.647125	a	68.767125
68.767125	E	68.857125
68.857125	t	68.887125
68.887125	p	68.927125
68.927125	e:	68.987125
68.987125	p	69.077125
69.077125	i	69.177125
69.177125	<p:>	69.237125
69.237125	k	69.277125
69.277125	v	69.307125
69.307125	I	69.347125
69.347125	t	69.437125
69.437125	n	69.477125
69.477125	m	69.517125
69.517125	a	69.547125
69.547125	l	69.597125
69.597125	i:	69.717125
69.717125	b	69.777125
69.777125	u:	69.867125
69.867125	<p:>	70.357125
70.357125	I	70.417125
70.417125	l	70.447125
70.447125	s	70.477125
70.477125	r	70.657125
70.657125	E	70.707125
70.707125	n	70.737125
70.737125	t	70.767125
70.767125	r	70.897125
70.897125	E	70.927125
70.927125	n	70.957125
70.957125	?	70.997125
70.997125	a	71.057125
71.057125	f	71.137125
71.137125	a	71.217125
71.217125	m	71.277125
71.277125	e:	71.377125
71.377125	s	71.407125
71.407125	<p:>	71.927125
71.927125	?	71.967125
71.967125	a:	72.147125
72.147125	t	72.177125
72.177125	e:	72.257125
72.257125	b	72.307125
72.307125	l	72.337125
72.337125	I	72.367125
72.367125	l	72.397125
72.397125	?	72.427125
72.427125	Y	72.457125
72.457125	p	72.487125
72.487125	s	72.517125
72.517125	i	72.697125
72.697125	l	72.797125
72.797125	O	72.827125
72.827125	n	72.857125
72.857125	a:	72.917125
72.917125	d	72.947125
72.947125	e	72.987125
72.987125	l	73.017125
73.017125	a	73.047125
73.047125	p	73.077125
73.077125	I	73.107125
73.107125	ts	73.147125
73.147125	a	73.217125
73.217125	g	73.307125
73.307125	a	73.347125
73.347125	r	73.407125
73.407125	n	73.487125
73.487125	i:	73.657125
73.657125	E	73.687125
73.687125	t	73.717125
73.717125	<p:>	73.807125
73.807125	d	73.857125
73.857125	@	73.917125
73.917125	s	73.947125
73.947125	l	74.077125
74.077125	a	74.147125
74.147125	z	74.267125
74.267125	a	74.377125
74.377125	g	74.407125
74.407125	n	74.457125
74.457125	@	74.487125
74.487125	?	74.577125
74.577125	aU	74.647125
74.647125	k	74.677125
74.677125	s	74.707125
74.707125	S	74.737125
74.737125	a	74.797125
74.797125	m	74.827125
74.827125	p	74.887125
74.887125	I	74.927125
74.927125	n	74.997125
74.997125	j	75.067125
75.067125	O	75.107125
75.107125	N	75.137125
75.137125	s	75.167125
75.167125	<p:>	75.617125
75.617125	r	75.697125
75.697125	a	75.767125
75.767125	s	75.847125
75.847125	a:	75.897125
75.897125	z	76.007125
76.007125	I	76.037125
76.037125	e:	76.157125
76.157125	s	76.187125
76.187125	I	76.217125
76.217125	l	76.247125
76.247125	s	76.277125
76.277125	s	76.337125
76.337125	E	76.397125
76.397125	k	76.437125
76.437125	s	76.537125
76.537125	k	76.577125
76.577125	l	76.607125
76.607125	a	76.687125
76.687125	m	76.727125
76.727125	@	76.757125
76.757125	n	76.797125
76.797125	<p:>	76.867125
76.867125	k	76.907125
76.907125	v	76.937125
76.937125	E	76.967125
76.967125	l	77.027125
77.027125	z	77.177125
77.177125	e:	77.247125
77.247125	j	77.287125
77.287125	u:	77.367125
77.367125	r	77.397125
77.397125	E	77.437125
77.437125	k	77.477125
77.477125	s	77.507125
77.507125	t	77.537125
77.537125	r	77.597125
77.597125	a:	77.657125
77.657125	O	77.707125
77.707125	r	77.737125
77.737125	d	77.767125
77.767125	i	77.817125
77.817125	n	77.927125
77.927125	aI	77.977125
77.977125	r	78.107125
78.107125	@	78.247125
78.247125	<p:>	80.578937
